1539 301,709,1612,2009,5366
787 1612,1979,5366,5794,5887
1339 301,709,1612,5366,5787
1878 523,1612,5366,5787,5794
1082 1612,1979,5366,5746,5794
1922 1243,1612,1979,5366,5794
80 523,1612,4542,5787,5794
914 523,1612,3424,5366,5794
1192 523,1612,3424,4542,5794
1647 523,1612,5366,5794,5887
95 1243,1612,5366,5787,5794
1378 523,1243,1612,5366,5794
570 1181,1612,1979,5366,5794
2749 523,1612,4542,5794,5887
2539 1612,3891,5366,5787,5794
86 1612,2009,5366,5746,5794
2790 1111,1612,1979,5746,5794
406 1612,5366,5787,5794,5887
1256 1612,5366,5746,5787,5794
933 1612,3891,5366,5746,5794
2350 523,1243,5366,5787,5794
1107 1612,2009,3388,5366,5746
815 1612,4542,5787,5794,5887
390 1243,1979,5366,5746,5794
31 1111,1612,4542,5787,5794
2494 1111,1612,1979,5794,5887
2907 1243,1612,5366,5746,5794
2701 523,5366,5787,5794,5887
1861 523,1181,1612,5366,5794
2800 709,1612,3891,5366,5787
1853 523,4542,5787,5794,5887
1498 1612,3767,3891,5787,5794
1676 523,1243,1612,4542,5794
2125 1243,5366,5746,5787,5794
1516 1111,1612,1979,3512,5794
1648 3506,5366,5746,5787,5794
2851 1979,5366,5746,5794,5887
20 523,1243,1612,5366,5787
144 1111,1612,4542,5746,5794
723 523,1243,3424,5366,5794
1780 1612,3767,5746,5787,5794
2682 523,1243,1612,5787,5794
2799 1243,1612,4542,5787,5794
1483 1612,1979,2243,5366,5794
1080 191,5366,5746,5787,5794
2721 1181,1979,5366,5746,5794
1474 523,3424,5366,5787,5794
2054 1612,3767,3891,5746,5794
1678 1181,1612,5366,5746,5794
1650 523,1243,4542,5787,5794
928 1243,1612,1979,5366,5746
526 3179,3506,5366,5787,5794
2804 1111,1612,4542,5794,5887
2948 1612,1979,4121,5366,5794
577 1612,4542,5746,5787,5794
19 1243,1612,1979,5746,5794
1857 1612,3424,3891,5366,5794
1408 1612,3891,5366,5794,5887
76 523,1612,5366,5787,5887
939 3179,4542,5787,5794,5887
518 1612,3424,5366,5746,5794
1129 523,1612,3424,5366,5787
493 3424,3506,5366,5746,5794
2823 3424,3506,5366,5787,5794
137 3179,5366,5787,5794,5887
1402 1243,1979,5366,5794,5887
321 1243,1612,5746,5787,5794
2273 523,1612,2243,5366,5794
1606 1181,1612,1979,5366,5746
792 1243,1612,5366,5746,5787
988 1612,4121,5366,5787,5794
1503 523,1612,3081,5366,5794
1684 3179,4542,4956,5787,5794
337 1243,1612,3388,5366,5746
2088 523,1243,1612,3424,5366
1809 523,4121,5366,5787,5794
716 523,1612,5787,5794,5887
2952 1612,3424,5366,5787,5794
921 3179,3424,3506,5366,5794
2168 523,1181,2287,5366,5794
1328 301,1612,4121,5366,5787
2110 1181,1979,2243,5366,5794
59 523,2287,3424,4542,5794
224 523,1612,4121,5366,5794
296 1612,2009,4054,5366,5794
814 1181,1612,1979,5746,5794
1126 523,1612,4542,5787,5887
2811 1612,1979,3512,5746,5794
2614 301,1612,2009,4121,5366
1092 1612,2760,3388,5366,5746
2155 523,2287,3424,5366,5794
990 523,3424,4542,5787,5794
1063 301,709,1799,2009,5366
70 523,1243,3424,4542,5794
2801 1243,1612,3424,5366,5794
626 1612,5366,5746,5794,5887
576 709,1612,2009,4054,5366
523 3081,3506,5366,5787,5794
1670 3891,5366,5746,5787,5794
148 1612,3424,4542,5787,5794
798 523,1612,3424,5787,5794
1238 1181,1612,5366,5787,5794
292 523,1140,1612,5366,5794
1305 2287,3424,3506,5366,5794
1999 1612,3424,4542,5746,5794
1536 4542,4956,5746,5787,5794
2934 1612,1979,5366,5746,5887
2860 523,2287,4542,5794,5887
1294 1612,2009,4121,5366,5794
762 1111,1612,5746,5787,5794
2292 1612,1979,3200,5366,5794
2945 1612,2945,3767,5787,5794
1410 1612,2760,3891,5366,5746
307 523,1612,3424,4542,5787
1341 523,2287,5366,5794,5887
2555 1448,2287,3179,4507,5366
675 1792,3506,5366,5746,5794
1844 1181,1243,1979,5366,5794
1428 1612,1979,2760,5366,5746
2529 2287,3179,3506,5366,5794
2 1181,1612,3388,5366,5746
2767 523,1612,4121,5366,5787
2002 523,1243,1612,4542,5787
1231 1612,4121,4542,5787,5794
2268 1612,1979,5746,5794,5887
486 1979,3200,5366,5794,5887
1641 523,1612,4121,4542,5794
147 1111,1296,1612,4542,5794
2033 1612,1792,5366,5746,5794
842 1612,3891,5366,5746,5787
1972 523,4121,4542,5787,5794
1967 1612,3891,5746,5787,5794
2905 1111,1612,1979,2945,5794
1191 1243,1612,4542,5746,5794
2337 1612,3388,3424,5366,5746
389 523,1181,5366,5787,5794
1561 1111,4542,5746,5787,5794
228 523,1243,1612,3424,5794
548 1243,1612,3424,4542,5794
1179 523,3081,5366,5787,5794
994 523,1243,3424,5366,5787
1151 301,709,1612,2009,2536
24 1243,4121,5366,5787,5794
249 2287,3506,5366,5746,5794
1604 1243,4542,5746,5787,5794
1886 1296,1612,4542,5787,5794
2397 1612,1979,2945,5746,5794
246 3424,4542,4956,5787,5794
1836 523,1243,5366,5794,5887
1340 523,1243,1612,3424,4542
1946 1979,2243,5366,5746,5794
